"age","male","educ","educ0","income","hhincome","white_nh","tea_party","conserv","partyID","pid1","Democrat1","Republican1","milAssert1","intl1","anxiety","cGroup_Endorse","cGroup_Oppose","groupControl","tGroup_Endorse","tGroup_Oppose","cMCheck","tMCheck","cPivot","cCertain","cSucceed","cThreat","tDeploy","tCertain","tSucceed","tThreat","cHot","tHot","cDem","tDem","cFirst","ID"
54,0,3,0.25,4,4,0,0,,2,0.166666666666667,1,0,0.6875,0.6875,0.866666666666667,0,0,1,0,0,1,1,0.811111111111111,0.43,0.88,0.98,0.94,0.61,0.73,1,0,1,1,0,0,"R_bxguPadAV1phkYR"
56,0,7,0.75,6,7,1,0,4,2,0.166666666666667,1,0,0.5,0.5625,0.466666666666667,1,0,0,0,1,1,0,0.544444444444445,0.64,0.17,0.59,0.39,0.46,0.6,0.33,1,0,1,0,1,"R_cC6UL4wSuAVWuoJ"
61,0,4,0.375,5,5,1,0,5,2,0.166666666666667,1,0,0.375,0.5,0.4,0,1,0,1,0,1,1,0.144444444444444,0.57,0.48,0.72,0.51,0.57,0.5,0.76,1,0,1,0,1,"R_5gWoq3Jost6wcWV"
28,1,8,0.875,5,5,1,1,1,7,1,0,1,0.75,0.75,0.333333333333333,1,0,0,0,1,0,1,0.555555555555556,0.72,0.88,0.85,0.75,0.6,0.87,0.35,0,1,1,0,0,"R_3PE5dYtATncbWVT"
77,0,5,0.5,1,1,1,0,5,2,0.166666666666667,1,0,0.3125,0.6875,0.333333333333333,1,0,0,0,1,1,0,0.511111111111111,0.52,0.1,0.86,0.03,0.91,0.08,0.53,0,1,1,0,0,"R_dapDGbOM57CIs9T"
65,0,5,0.5,6,7,1,0,4,5,0.666666666666667,0,1,0.3125,0.5625,0.4,0,0,1,0,0,0,1,0.544444444444445,0.51,0.54,0.88,0.49,0.45,0.52,0.86,1,0,1,0,1,"R_bE1WpZLC4mUwngV"
71,0,3,0.25,5,5,1,0,5,5,0.666666666666667,0,1,0.125,0.375,0.466666666666667,1,0,0,0,1,1,1,0.0222222222222222,0.98,0,0.98,0.02,0.97,0.01,0.92,1,0,0,1,1,"R_3qijI2jOcRs5ZCl"
83,1,8,0.875,2,2,1,1,5,6,0.833333333333333,0,1,0.5625,0.75,0.533333333333333,1,0,0,0,1,1,1,0.322222222222222,0.27,0.43,0.27,0.14,0.16,0.41,0.54,0,1,1,0,1,"R_afqyfBtrpbYKOYR"
25,0,4,0.375,5,5,1,1,6,6,0.833333333333333,0,1,0.625,0.5,0.466666666666667,0,1,0,1,0,1,1,0.522222222222222,0.55,0.47,0.85,0.6,0.54,0.63,0.63,1,0,0,1,0,"R_bDZR4lwW1YBzBjf"
75,1,8,0.875,6,8,1,1,6,7,1,0,1,0.9375,0.5625,0.2,1,0,0,0,1,1,1,0.977777777777778,1,0.93,0.79,0.58,0.94,0.43,0.58,1,0,0,1,1,"R_4TONzWkfIwBmUhn"
